"BitTorrent Peer Wire Protocol  ";"  github.com  ";"  https://github.com/mafintosh/peer-wire-protocol  ";" 1 point  ";
"The Forbes ‘30 Under 30’ Hustle  ";"  theinformation.com  ";"  https://www.theinformation.com/articles/the-forbes-30-under-30-hustle  ";" 1 point  ";
"No one agrees on what DevOps means – not even employers  ";"  triplebyte.com  ";"  https://triplebyte.com/blog/no-one-agrees-on-what-devops-means-not-even-employers  ";" 1 point  ";
"Ask HN: Freelancers, how do the best clients communicate requirements?  ";"  No domain for post  ";"  item?id=21608476  ";" 1 point  ";
"Origami-based reconfigurable flow switch for paper microfluidics (2017) [video]  ";"  youtube.com  ";"  https://www.youtube.com/watch?v=6WrLAjjTLk4  ";" 1 point  ";
"Removing WebSQL Support  ";"  webkit.org  ";"  https://lists.webkit.org/pipermail/webkit-dev/2019-November/030968.html  ";" 2 points  ";
"Gusto Engineering's Diversity Update: It's Not Just About the Numbers  ";"  gusto.com  ";"  https://engineering.gusto.com/its-not-just-about-the-numbers/  ";" 1 point  ";
"Ampere Gears Up to Launch 7nm, 80-Core Arm Chip for Cloud Data Centers  ";"  datacenterknowledge.com  ";"  https://www.datacenterknowledge.com/hardware/ampere-gears-launch-7nm-80-core-arm-chip-cloud-data-centers  ";" 1 point  ";
"B-58A Escape Capsule  ";"  ejectionsite.com  ";"  http://www.ejectionsite.com/eb58caps.htm  ";" 1 point  ";
"Video: Breaking the End to End Principle  ";"  ipspace.net  ";"  http://blog.ipspace.net/2019/11/video-breaking-end-to-end-principle.html  ";" 1 point  ";
"Reasonably Secure Electron  ";"  bishopfox.com  ";"  https://know.bishopfox.com/research/reasonably-secure-electron  ";" 1 point  ";
"Bayer's Monsanto pleads guilty to illegal Hawaii pesticide spraying  ";"  reuters.com  ";"  https://www.reuters.com/article/us-bayer-monsanto-plea-hawaii/bayers-monsanto-pleads-guilty-to-illegal-hawaii-pesticide-spraying-idUSKBN1XW21N  ";" 2 points  ";
"Physicists Claim They've Found Even More Evidence of a New Force of Nature  ";"  sciencealert.com  ";"  https://www.sciencealert.com/physicists-claim-a-they-ve-found-even-more-evidence-of-a-new-force-of-nature  ";" 3 points  ";
"Automatically generate .pyi typing stubs for Ghidra's Jython API  ";"  github.com  ";"  https://github.com/VDOO-Connected-Trust/ghidra-pyi-generator/  ";" 1 point  ";
"Show HN: Wrapping Images Around Fractals  ";"  bamia.net  ";"  http://bamia.net/articles/fractals/index.html  ";" 1 point  ";
"Is Marijuana Addictive?  ";"  elemental.medium.com  ";"  https://elemental.medium.com/is-marijuana-addictive-ab3a99b4276e  ";" 1 point  ";
"Using a Private Number to send and receive messages  ";"  freeramble.com  ";"  https://www.freeramble.com/news/2019/11/18/how-to-receive-and-send-responses-private-number-subscriptions/  ";" 1 point  ";
"Dogs Can’t Help Falling in Love  ";"  nytimes.com  ";"  https://www.nytimes.com/2019/11/22/science/dogs-love-evolution.html  ";" 1 point  ";
"Robots Are Taking over (The Rental Screening Process)  ";"  wsj.com  ";"  https://www.wsj.com/articles/robots-are-taking-over-the-rental-screening-process-11574332200?mod=rsswn  ";" 1 point  ";
"Why some people are impossibly talented  ";"  bbc.com  ";"  https://www.bbc.com/worklife/article/20191118-what-shapes-a-polymath---and-do-we-need-them-more-than-ever  ";" 1 point  ";
"Discovering Server Driven UI  ";"  q42.nl  ";"  https://engineering.q42.nl/server-driven-ui-at-primephonic/  ";" 2 points  ";
"From idea to first 15+ paying customers in five months  ";"  bloggi.co  ";"  https://blog.bloggi.co/the-making-of-bloggi  ";" 1 point  ";
"Story of Totlol (YouTube Kids Origin) (2009)  ";"  archive.org  ";"  https://web.archive.org/web/20100113220844/http://www.totlol.com/t/story  ";" 1 point  ";
"Show HN: 1-Click Video Rank Tracker on Google and YouTube  ";"  regirank.com  ";"  https://www.regirank.com  ";" 1 point  ";
"Does Anyone Rob Banks Anymore?  ";"  melmagazine.com  ";"  https://melmagazine.com/en-us/story/does-anyone-rob-banks-anymore  ";" 1 point  ";
"JIT compiling SQL queries for space-time db  ";"  mireo.hr  ";"  https://www.mireo.hr/resources/how-to/blog/compiling-sql-queries-for-mireo-spacetime  ";" 1 point  ";
"‘We were sold off’: WeWork’s staff face uncertain future as company collapses  ";"  theguardian.com  ";"  https://www.theguardian.com/business/2019/nov/22/we-were-sold-off-weworks-support-staff-face-uncertain-future-as-company-collapses  ";" 17 points  ";
"Descent  ";"  wikipedia.org  ";"  https://en.wikipedia.org/wiki/Descent_(1995_video_game)  ";" 2 points  ";
"Show HN: Project Management Synchronization for Construction Teams  ";"  construpdate.herokuapp.com  ";"  http://construpdate.herokuapp.com/  ";" 1 point  ";
"I Want to Stop Using Google Adsense  ";"  phpocean.com  ";"  https://phpocean.com/blog/article/why-i-want-to-stop-using-google-adsense/104  ";" 2 points  ";
"The “10x Engineer” Has Officially Become a Meme  ";"  7pace.com  ";"  https://www.7pace.com/blog/10x-engineers  ";" 2 points  ";
"On the Genealogy of Morality  ";"  wikipedia.org  ";"  https://en.wikipedia.org/wiki/On_the_Genealogy_of_Morality  ";" 1 point  ";
"Detroit's central train station, Hudson's, other projects almost done  ";"  freep.com  ";"  https://www.freep.com/story/money/business/john-gallagher/2019/11/22/detroit-michigan-central-station-hudsons-bridge/4237409002/  ";" 1 point  ";
